make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,co2_emissions
AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,258
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,13.7,8.3,11.3,265
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,224
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,258
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,14.7,,12.5,288
AUDI,A8L,FULL-SIZE,,12,AS8,Z,18.7,11.5,15.5,363
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,224
AUDI,,STATION WAGON - SMALL,2.0,4,AS8,Z,11.8,8.8,10.5,242
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,239
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,258
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,D,10.2,7.8,9.0,244
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,9.9,8.3,9.2,212
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,304
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,D,12.4,8.7,10.7,290
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,336
AUDI,,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,407
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,347
AUDI,,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,409
AUDI,R8 SPYDER,TWO-SEATER,,8,A7,Z,17.6,11.0,14.6,336
AUDI,,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,407
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,347
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,409
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,306
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,308
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,15.5,8.8,12.5,293
AUDI,S4,COMPACT,3.0,6,A7,Z,13.2,9.2,11.4,262
AUDI,S4,COMPACT,3.0,6,M6,Z,14.6,9.8,12.4,285
AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,13.2,9.2,11.4,262
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,14.6,9.8,12.4,285
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,267
AUDI,S6,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,281
AUDI,,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,281
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,15.8,9.2,12.8,300
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,,14.9,10.1,12.7,292
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,10.4,7.6,9.1,209
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,10.4,7.6,9.1,209
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,11.5,8.8,10.3,237
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,11.5,8.8,10.3,237
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,16.3,9.8,13.4,314
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,356
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,17.4,10.2,14.2,332
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,380
BENTLEY,,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,380
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,,16.5,388
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,437
BMW,320i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,193
BMW,,COMPACT,2.0,4,M6,,10.4,6.7,8.7,200
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Z,10.2,7.0,8.8,202
BMW,328d xDRIVE,COMPACT,,4,A8,D,7.6,5.5,6.7,181
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,D,7.6,5.5,6.7,181
BMW,,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,193
BMW,328i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,200
BMW,,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,209
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Z,10.6,,9.1,209
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,209
BMW,335i,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,221
BMW,335i,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,230
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,228
BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,237
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,232
BMW,,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,193
BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,200
BMW,,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,209
BMW,435i COUPE,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,221
BMW,435i COUPE,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,230
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,228
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,,11.9,8.3,10.3,237
BMW,528i,MID-SIZE,2.0,4,A8,Z,10.2,7.0,8.8,202
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,209
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,9.2,6.4,7.9,213
BMW,,MID-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,232
BMW,,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,246
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,281
BMW,,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,292
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,11.9,,10.1,232
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,292
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,281
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,292
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,246
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,292
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,292
BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,356
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,191
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,214
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,10.5,,9.2,212
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,292
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,292
BMW,M5,MID-SIZE,4.4,8,AM7,,17.3,11.5,14.7,338
BMW,,MID-SIZE,4.4,8,M6,,16.2,10.9,13.8,317
BMW,,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,338
BMW,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,317
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,338
BMW,,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,317
BMW,,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,338
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,317
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,209
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,260
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,11.2,8.5,10.0,230
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,253
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,12.9,8.8,11.1,255
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,320
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,370
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,13.6,9.8,11.9,274
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,324
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Z,10.8,7.1,9.1,209
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,10.4,6.7,8.7,200
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.7,,12.1,278
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,12.7,9.0,11.0,253
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,278
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,283
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,290
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,196
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8.0,9.2,212
BUICK,,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,264
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,250
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,264
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,,19.4,13.0,16.5,264
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,189
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,228
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.6,7.5,9.8,225
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,12.3,8.7,10.7,246
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,189
BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.5,7.9,9.9,228
BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.5,9.8,225
BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,218
CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.3,7.5,9.6,221
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.1,7.9,10.2,235
CADILLAC,,COMPACT,2.5,4,AS6,X,10.5,7.2,9.0,207
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,251
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,11.8,8.1,10.1,232
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,9.0,11.3,260
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,258
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9.0,11.4,262
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Z,11.9,7.9,10.1,232
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,248
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Z,12.6,8.5,10.8,248
CADILLAC,,MID-SIZE,3.6,6,AS6,X,13.1,9.0,11.3,260
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,,12.8,294
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,12.7,8.9,11.0,253
CADILLAC,,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,260
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,X,12.8,9.1,11.1,255
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9.0,11.4,262
CADILLAC,,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,382
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,340
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,382
CADILLAC,,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,340
CADILLAC,,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,382
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.7,12.5,14.8,340
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17.0,11.8,14.7,338
CADILLAC,ESCALADE AWD,SUV - STANDARD,,8,A6,E,23.3,16.1,20.1,322
CADILLAC,,SUV - STANDARD,6.2,8,A6,Z,18.8,,16.4,377
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,354
CADILLAC,,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,283
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,294
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,262
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14.0,9.1,11.8,271
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,290
CHEVROLET,,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,258
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,269
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,,10.5,242
CHEVROLET,,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,294
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,292
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,382
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,340
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12.0,276
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,258
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,179
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,179
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,202
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,8.2,189
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,D,8.7,5.1,7.1,192
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,,9.1,6.0,7.7,177
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,163
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,209
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,9.6,12.0,276
CHEVROLET,,SUV - SMALL,3.6,6,A6,E,18.8,,16.2,259
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,,11.5,8.2,10.0,230
CHEVROLET,,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,290
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,272
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,347
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,366
CHEVROLET,,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,334
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,380
CHEVROLET,,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,344
CHEVROLET,,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,380
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,344
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,380
CHEVROLET,,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,362
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,380
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,344
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,380
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,362
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18.0,414
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,432
CHEVROLET,,VAN - PASSENGER,6.0,8,A6,E,30.0,20.4,25.7,411
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,419
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.1,15.0,18.9,435
CHEVROLET,,VAN - PASSENGER,6.0,8,A6,E,30.2,20.5,25.8,413
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,221
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,244
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,11.3,14.3,229
CHEVROLET,,FULL-SIZE,2.4,4,AS6,X,10.0,7.0,8.7,200
CHEVROLET,,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,228
CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,9.3,6.4,8.0,184
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,,12.2,8.6,10.6,244
CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,235
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,271
CHEVROLET,,PICKUP TRUCK - STANDARD,,6,A6,E,18.9,14.2,16.8,269
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,292
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,,19.5,13.7,16.9,270
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,324
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,290
CHEVROLET,,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.0,15.1,17.8,285
CHEVROLET,,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13.0,299
CHEVROLET,,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,277
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,329
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,8.0,184
CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,173
CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,191
CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,8.9,6.7,7.9,182
CHEVROLET,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,7.0,8.3,191
CHEVROLET,,COMPACT,1.4,4,M6,X,8.8,7.0,8.0,184
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1,6.7,8.0,184
CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,172
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6,6.6,8.3,191
CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,8.9,,7.9,182
CHEVROLET,,MID-SIZE,1.4,4,AS6,X,9.4,7.0,8.3,191
CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,8.8,7.0,8.0,184
CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6.0,6.9,159
CHEVROLET,,SUBCOMPACT,1.2,4,M5,X,7.6,6.0,6.9,159
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,317
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,294
CHEVROLET,,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,317
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,294
CHEVROLET,,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,317
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,294
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,317
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,294
CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,283
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,290
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,7.1,8.4,193
CHEVROLET,,SUV - SMALL,1.4,4,M6,X,9.1,6.8,8.1,186
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10.0,7.8,9.0,207
CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,237
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,232
CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,12.9,8.1,10.7,246
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,242
CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17.0,11.2,14.4,230
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,225
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A6,X,12.0,7.6,10.0,230
CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,242
CHRYSLER,,MID-SIZE,3.6,6,A6,E,17.0,11.2,14.4,230
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,294
CHRYSLER,,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,251
CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10.0,13.4,308
CHRYSLER,,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,251
